"1.  Agreement among pathologists for common disease, neoplastic vs. non-neoplastic
e.g.  reactive epithelial changes (from chronic gastritis) vs. adenocarcinoma","2.  Agreement among pathologists for distinguishing malignant vs. benign in common neoplasms
e.g.  tubular adenoma vs. adenocarcinoma in a colorectal polyp","3.  Agreement among pathologists for broad subtyping of common neoplastic disease
e.g.  adenocarcinoma vs. squamous cell carcinoma in a lung tumor","4.  Agreement among pathologists for detailed subtyping of common neoplastic diseases
e.g. papillary subtype vs. acinar subtype of lung adenocarcinoma","5.  Agreement among pathologists for broad subtyping of common non-neoplastic disease
e.g. H. pylori gastritis vs. autoimmune gastritis","6.  Agreement among pathologists for distinguishing malignant vs. benign in rare neoplastic diseases
e.g. schwannoma vs. MPNST","7.  Agreement among pathologists for subtyping of rare neoplastic entities
e.g. subtyping salivary gland tumors","8.  Agreement among pathologists for diagnosis of rare non-neoplastic disease
e.g.  interstitial pneumonia"
90-99%,90-99%,70-79%,60-69%,50-59%,80-89%,60-69%,60-69%
80-89%,90-99%,90-99%,70-79%,70-79%,60-69%,50-59%,60-69%
90-99%,90-99%,90-99%,80-89%,70-79%,80-89%,70-79%,60-69%
90-99%,90-99%,90-99%,90-99%,90-99%,70-79%,70-79%,50-59%
90-99%,90-99%,100%,80-89%,90-99%,80-89%,70-79%,50-59%
80-89%,80-89%,80-89%,60-69%,70-79%,80-89%,50-59%,60-69%
90-99%,90-99%,80-89%,70-79%,80-89%,60-69%,50-59%,<50%
90-99%,90-99%,90-99%,80-89%,70-79%,70-79%,70-79%,<50%
80-89%,90-99%,100%,80-89%,50-59%,90-99%,80-89%,<50%
80-89%,70-79%,70-79%,60-69%,50-59%,<50%,<50%,50-59%
90-99%,70-79%,90-99%,70-79%,80-89%,80-89%,<50%,60-69%
90-99%,90-99%,80-89%,80-89%,70-79%,70-79%,70-79%,60-69%
90-99%,90-99%,90-99%,80-89%,90-99%,80-89%,90-99%,80-89%
90-99%,90-99%,100%,80-89%,100%,100%,60-69%,90-99%
90-99%,100%,90-99%,60-69%,80-89%,80-89%,80-89%,50-59%
70-79%,70-79%,80-89%,60-69%,70-79%,80-89%,50-59%,50-59%
